City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,grytviken,-54.2811,-36.5092,27.86,90,100,2.37,GS,1697142914
1,port douglas,-16.4833,145.4667,71.01,75,100,6.24,AU,1697142915
2,puerto baquerizo moreno,-0.9,-89.6,81.59,69,40,11.5,EC,1697142748
3,port alfred,-33.5906,26.891,58.17,89,18,1.99,ZA,1697142917
4,iqaluit,63.7506,-68.5145,31.73,80,40,2.3,CA,1697142917
5,swansea,51.6208,-3.9432,60.67,98,100,1.01,GB,1697142918
6,san ramon,37.7799,-121.978,80.29,36,0,6.91,US,1697142854
7,adamstown,-25.066,-130.1015,69.51,70,97,11.52,PN,1697142918
8,stanley,54.868,-1.6985,43.79,90,0,3.44,GB,1697142919
9,salekhard,66.53,66.6019,30.2,91,100,10.13,RU,1697142919
10,anadyr,64.75,177.4833,41.5,93,75,22.37,RU,1697142919
11,kiunga,-6.1219,141.2906,73.65,99,100,1.14,PG,1697142919
12,happy valley-goose bay,53.3168,-60.3315,52.11,82,75,11.5,CA,1697142920
13,port-aux-francais,-49.35,70.2167,35.94,81,79,16.44,TF,1697142920
14,waitangi,-43.9535,-176.5597,50.83,76,66,7.0,NZ,1697142920
15,gaiman,-43.2897,-65.4929,55.29,36,8,12.17,AR,1697142921
16,fort bragg,35.139,-79.006,73.13,64,100,10.36,US,1697142921
17,puerto natales,-51.7236,-72.4875,55.85,50,20,23.02,CL,1697142921
18,puerto ayora,-0.7393,-90.3518,82.36,75,75,12.03,EC,1697142921
19,blackmans bay,-43.0167,147.3167,48.33,87,85,1.01,AU,1697142922
20,port mathurin,-19.6833,63.4167,73.62,74,1,8.32,MU,1697142922
21,rzhyshchiv,49.9689,31.0463,61.81,47,100,15.12,UA,1697142922
22,ixtapa,20.7,-105.2,85.23,70,40,10.36,MX,1697142922
23,hilo,19.7297,-155.09,84.09,75,100,4.61,US,1697142656
24,carnarvon,-24.8667,113.6333,72.12,69,29,12.08,AU,1697142923
25,beruniy,41.6911,60.7525,44.56,81,100,16.11,UZ,1697142923
26,ayr,55.4627,-4.6339,51.51,76,75,10.36,GB,1697142923
27,papatowai,-46.5619,169.4708,59.11,52,94,15.03,NZ,1697142923
28,yellowknife,62.456,-114.3525,43.32,100,100,3.44,CA,1697142924
29,qobustan,40.0824,49.412,57.78,62,23,5.99,AZ,1697142924
30,avarua,-21.2078,-159.775,77.05,78,20,6.91,CK,1697142924
31,esmeraldas,-19.7625,-44.3139,92.44,42,83,2.64,BR,1697142924
32,yallahs,17.8748,-76.5624,91.13,76,97,8.61,JM,1697142925
33,tiksi,71.6872,128.8694,23.2,96,100,9.73,RU,1697142925
34,bardai,11.65,7.2333,78.3,34,23,6.89,NG,1697142925
35,whitehorse,60.7161,-135.0538,44.1,71,75,10.36,CA,1697142925
36,namibe,-15.1961,12.1522,67.06,80,9,4.59,AO,1697142764
37,chos malal,-37.3781,-70.2709,67.93,13,1,1.12,AR,1697142926
38,westport,41.1415,-73.3579,71.29,52,75,8.05,US,1697142926
39,kenai,60.5544,-151.2583,36.14,98,100,8.05,US,1697142892
40,gizo,-8.103,156.8419,78.31,87,100,14.16,SB,1697142926
41,murzuq,25.9155,13.9184,74.71,29,0,9.35,LY,1697142926
42,luderitz,-26.6481,15.1594,59.56,76,0,20.94,NA,1697142927
43,nicoya,10.1483,-85.452,83.3,83,90,4.7,CR,1697142927
44,tadine,-21.55,167.8833,70.38,81,89,16.08,NC,1697142927
45,albany,42.6001,-73.9662,63.59,60,52,8.12,US,1697142664
46,kochi,9.9399,76.2602,76.98,91,100,3.27,IN,1697142928
47,hawaiian paradise park,19.5933,-154.9731,83.88,72,100,4.61,US,1697142928
48,vilyuchinsk,52.9306,158.4028,38.93,84,99,5.66,RU,1697142928
49,axim,4.8699,-2.2405,74.23,95,100,8.3,GH,1697142928
50,west island,-12.1568,96.8225,76.98,78,75,12.66,CC,1697142929
51,bredasdorp,-34.5322,20.0403,57.25,78,96,10.8,ZA,1697142929
52,tsetserleg,47.475,101.4542,38.12,53,3,4.5,MN,1697142929
53,maluso,6.543,121.8753,79.56,84,15,4.43,PH,1697142929
54,bethel,41.3712,-73.414,70.02,48,0,3.44,US,1697142929
55,wanning,18.8003,110.3967,77.5,89,100,13.02,CN,1697142930
56,cannonvale,-20.2833,148.7,70.99,66,43,5.73,AU,1697142930
57,usinsk,65.9939,57.5281,30.07,98,100,5.01,RU,1697142930
58,kilgore,32.3863,-94.8758,80.89,64,75,8.05,US,1697142930
59,willows,39.5243,-122.1936,78.91,19,24,10.22,US,1697142931
60,mount isa,-20.7333,139.5,74.97,27,9,10.36,AU,1697142636
61,buka,40.8108,69.1986,55.71,70,100,11.5,UZ,1697142931
62,andergrove,-21.0833,149.1833,63.64,70,5,1.16,AU,1697142931
63,mambolo,8.9231,-13.0444,79.09,95,100,4.76,SL,1697142931
64,dunedin,-45.8742,170.5036,60.08,83,86,1.99,NZ,1697142676
65,nova sintra,14.8667,-24.7167,76.19,77,99,5.06,CV,1697142932
66,petropavlovsk-kamchatsky,53.0452,158.6483,37.45,73,75,15.01,RU,1697142932
67,saint-joseph,-21.3667,55.6167,71.98,86,56,6.82,RE,1697142676
68,ushuaia,-54.8,-68.3,47.86,56,20,34.52,AR,1697142933
69,lander,42.833,-108.7307,43.39,92,100,10.36,US,1697142933
70,thompson,55.7435,-97.8558,53.76,62,20,3.44,CA,1697142933
71,toliara,-23.35,43.6667,75.36,77,1,5.17,MG,1697142933
72,howard springs,-12.497,131.047,77.83,80,10,2.17,AU,1697142934
73,sant antoni de portmany,38.9807,1.3036,73.09,84,40,4.61,ES,1697142674
74,iskateley,67.6803,53.1512,34.02,76,100,8.99,RU,1697142934
75,bodo,67.28,14.405,37.78,93,0,2.3,NO,1697142750
76,margaret river,-33.95,115.0667,50.11,88,7,9.4,AU,1697142934
77,longyearbyen,78.2186,15.6401,28.24,64,75,10.36,SJ,1697142935
78,new norfolk,-42.7826,147.0587,49.5,78,100,6.22,AU,1697142935
79,ilulissat,69.2167,-51.1,24.82,58,75,2.3,GL,1697142935
80,udachny,66.4167,112.4,19.45,85,58,8.59,RU,1697142935
81,vila franca do campo,37.7167,-25.4333,68.88,99,22,7.92,PT,1697142936
82,yanchep,-31.55,115.6833,60.93,46,0,14.0,AU,1697142936
83,arno,60.1167,18.6333,49.78,64,3,14.74,SE,1697142936
84,bissau,11.8636,-15.5977,86.11,79,20,2.3,GW,1697142936
85,puduvayal,13.3333,80.1667,82.98,84,98,3.36,IN,1697142936
86,edinburgh of the seven seas,-37.0676,-12.3116,55.4,79,27,7.61,SH,1697142937
87,paita,-5.0892,-81.1144,71.28,76,97,16.87,PE,1697142937
88,namsos,64.4662,11.4957,44.65,93,100,6.91,NO,1697142937
89,tolanaro,-25.0319,46.9987,68.07,94,75,11.5,MG,1697142937
90,inari,68.906,27.0288,35.8,97,100,15.97,FI,1697142938
91,nova vicosa,-17.8919,-39.3719,75.92,78,13,14.07,BR,1697142938
92,plain city,41.298,-112.0861,50.07,76,100,5.01,US,1697142439
93,laguna,38.421,-121.4238,79.29,35,0,10.36,US,1697142938
94,isafjordur,66.0755,-23.124,33.06,94,100,33.78,IS,1697142938
95,uturoa,-16.7333,-151.4333,78.76,70,10,14.76,PF,1697142939
96,shihezi,44.3,86.0333,62.22,30,0,2.33,CN,1697142939
97,alofi,-19.0595,-169.9187,80.49,57,40,12.66,NU,1697142939
98,utrik,11.2278,169.8474,82.13,78,31,10.71,MH,1697142939
99,fort st. john,56.2499,-120.8529,55.29,62,20,9.22,CA,1697142754
100,st. john's,47.5649,-52.7093,56.55,97,100,10.36,CA,1697142940
101,ancud,-41.8697,-73.8203,50.04,68,49,2.93,CL,1697142940
102,hassi messaoud,31.6804,6.0729,80.46,28,0,6.91,DZ,1697142940
103,callao,-12.0667,-77.15,68.29,73,75,8.05,PE,1697142940
104,olonkinbyen,70.9221,-8.7187,32.05,83,94,21.32,SJ,1697142941
105,nar'yan-mar,67.6713,53.087,34.11,76,100,8.99,RU,1697142714
106,flying fish cove,-10.4217,105.6791,76.68,83,75,11.5,CX,1697142941
107,carrizo springs,28.5219,-99.8606,88.41,51,0,6.91,US,1697142941
108,concordia,-31.393,-58.0209,61.79,44,4,8.99,AR,1697142942
109,arraial do cabo,-22.9661,-42.0278,80.56,73,0,12.66,BR,1697142942
110,ribeira grande,38.5167,-28.7,68.4,77,20,6.91,PT,1697142942
111,sault ste. marie,46.5168,-84.3333,57.49,52,0,10.36,CA,1697142560
112,azul,-36.777,-59.8585,61.27,33,55,6.85,AR,1697142942
113,punta arenas,-53.15,-70.9167,51.91,62,20,29.93,CL,1697142934
114,yuli,9.6989,10.2744,76.06,72,100,3.8,NG,1697142943
115,oued el abtal,35.456,0.6878,75.09,49,0,0.43,DZ,1697142943
116,tofol,5.3248,163.0078,83.25,74,46,8.08,FM,1697142943
117,pacific grove,36.6177,-121.9166,78.39,50,0,5.75,US,1697142917
118,hithadhoo,-0.6,73.0833,81.16,72,92,12.17,MV,1697142688
119,bismarck,46.8083,-100.7837,53.44,58,100,20.71,US,1697142944
120,baruun-urt,46.6806,113.2792,39.79,57,0,6.17,MN,1697142944
121,pakse,15.1167,105.7833,72.79,95,83,3.04,LA,1697142944
122,gatton,-27.55,152.2833,65.64,58,0,6.06,AU,1697142944
123,jilin,43.0,126.0,47.52,69,33,3.24,CN,1697142945
124,carutapera,-1.195,-46.02,80.62,75,19,8.61,BR,1697142945
125,gelendzhik,44.5731,38.0747,54.54,66,0,7.0,RU,1697142689
126,lincoln,40.8,-96.667,62.69,89,100,20.71,US,1697142573
127,taoudenni,22.6783,-3.9836,87.37,13,0,11.7,ML,1697142945
128,acarau,-2.8856,-40.12,79.84,79,16,17.16,BR,1697142946
129,mount pearl,47.5166,-52.7813,55.72,96,100,10.36,CA,1697142862
130,saipan,15.1355,145.701,83.1,94,100,14.97,MP,1697142946
131,bengkulu,-3.8004,102.2655,73.17,94,51,3.06,ID,1697142946
132,lompoc,34.6391,-120.4579,83.79,41,0,9.22,US,1697142771
133,fada,9.5667,8.3,69.49,85,100,1.81,NG,1697142947
134,vorgashor,67.5833,63.95,30.97,73,100,14.58,RU,1697142947
135,konongo,6.6167,-1.2167,73.53,99,99,2.35,GH,1697142947
136,jamestown,42.097,-79.2353,60.39,62,75,10.36,US,1697142854
137,hamilton,39.1834,-84.5333,81.43,47,0,9.22,US,1697142706
138,obidos,-1.9175,-55.5181,94.66,33,18,3.98,BR,1697142948
139,klyuchi,52.2667,79.1667,44.08,81,100,5.55,RU,1697142948
140,karratha,-20.7377,116.8463,80.64,33,2,10.11,AU,1697142842
141,aiquile,-18.2041,-65.1807,75.56,44,30,16.93,BO,1697142948
142,labuan,5.2767,115.2417,80.96,94,20,0.0,MY,1697142948
143,nemuro,43.3236,145.575,53.35,73,0,10.83,JP,1697142949
144,tazovsky,67.4667,78.7,32.95,97,100,4.38,RU,1697142949
145,casper,42.8666,-106.3131,37.99,92,100,23.02,US,1697142853
146,colonia,50.9333,6.95,64.29,94,75,5.75,DE,1697142745
147,codrington,-38.2667,141.9667,53.47,91,100,15.03,AU,1697142949
148,tippi,7.2,35.45,63.37,98,93,3.4,ET,1697142950
149,aasiaat,68.7098,-52.8699,15.8,84,94,8.81,GL,1697142950
150,college,64.8569,-147.8028,29.8,82,100,3.44,US,1697142950
151,savonlinna,61.8699,28.88,41.05,75,100,18.41,FI,1697142950
152,mangalia,43.8,28.5833,59.81,74,0,11.32,RO,1697142950
153,uray,60.1247,64.7758,36.88,83,100,4.0,RU,1697142951
154,alesund,62.4723,6.1549,47.34,72,75,12.66,NO,1697142951
155,bilibino,68.0546,166.4372,13.96,91,100,4.68,RU,1697142951
156,cill airne,52.05,-9.5167,53.13,98,100,3.58,IE,1697142951
157,hobyo,5.3505,48.5268,80.55,83,1,10.25,SO,1697142951
158,gore,-46.1028,168.9436,58.26,57,67,10.8,NZ,1697142952
159,warrenton,-28.114,24.8475,57.45,62,3,3.76,ZA,1697142859
160,petrovsk,52.3064,45.3917,47.08,34,100,23.24,RU,1697142952
161,invercargill,-46.4,168.35,60.03,59,96,15.99,NZ,1697142885
162,grand falls-windsor,48.9332,-55.6649,51.42,88,100,4.23,CA,1697142886
163,seven pagodas,12.6264,80.1722,83.05,81,98,3.62,IN,1697142953
164,coruripe,-10.1256,-36.1756,76.93,82,5,14.2,BR,1697142953
165,malango,-2.9627,119.9001,64.72,93,98,1.95,ID,1697142953
166,nyurba,63.2842,118.3319,35.04,96,98,4.0,RU,1697142953
167,muramvya,-3.2682,29.6079,59.2,84,70,1.39,BI,1697142953
168,nadi,-17.8,177.4167,73.4,83,75,4.61,FJ,1697142724
169,tokar,18.4254,37.729,84.78,74,0,10.78,SD,1697142954
170,pisco,-13.7,-76.2167,73.45,60,20,6.91,PE,1697142954
171,kilju,40.9642,129.3278,53.2,48,85,5.12,KP,1697142954
172,constantia,44.1833,28.65,57.88,71,0,14.16,RO,1697142488
173,manokwari,-0.8667,134.0833,78.55,78,75,3.58,ID,1697142955
174,sola,-13.8833,167.55,78.31,78,97,17.05,VU,1697142955
175,cidreira,-30.1811,-50.2056,59.27,66,100,11.61,BR,1697142955
176,sinabang,2.4803,96.3801,77.92,85,100,2.59,ID,1697142955
177,ust-nera,64.5667,143.2,4.21,99,88,5.01,RU,1697142738
178,jeddah,21.5169,39.2192,87.66,70,0,3.44,SA,1697142956
179,linxia chengguanzhen,35.6003,103.2064,44.73,90,100,0.6,CN,1697142956
180,hermanus,-34.4187,19.2345,58.26,79,100,9.51,ZA,1697142956
181,buxerolles,46.6167,0.4833,62.55,72,0,2.3,FR,1697142957
182,wenchang,30.904,118.4887,63.88,85,100,1.23,CN,1697142957
183,sao gotardo,-19.3111,-46.0489,81.0,47,98,1.88,BR,1697142957
184,carbonear,47.7332,-53.2148,57.0,96,90,5.97,CA,1697142957
185,necochea,-38.5473,-58.7368,53.2,52,0,3.74,AR,1697142958
186,la passe,45.5549,-0.8967,68.23,54,78,5.86,FR,1697142958
187,contamana,-7.3333,-75.0167,94.89,37,98,3.44,PE,1697142958
188,polyarnyy,69.1989,33.4478,38.07,86,100,23.29,RU,1697142958
189,ust-tsilma,65.441,52.1498,36.61,96,100,8.01,RU,1697142959
190,minas de marcona,-15.2119,-75.1103,64.92,63,37,13.58,PE,1697142959
191,mucur,39.0615,34.3829,46.42,48,0,2.15,TR,1697142959
192,holualoa,19.6228,-155.9522,82.54,69,0,8.05,US,1697142959
193,khash,28.2211,61.2158,71.8,16,0,3.58,IR,1697142959
194,georgetown,5.4112,100.3354,80.53,93,20,3.44,MY,1697142827
195,pasan,22.85,82.2,72.46,66,44,2.8,IN,1697142960
196,san patricio,28.017,-97.5169,87.75,64,69,13.47,US,1697142960
197,salalah,17.0151,54.0924,80.69,74,0,2.3,OM,1697142960
198,yatou,37.15,122.3833,60.19,58,100,0.43,CN,1697142960
199,kratie,12.4881,106.0188,73.78,96,98,3.4,KH,1697142961
200,santa cruz,-17.8,-63.1667,90.86,33,20,10.36,BO,1697142879
201,el chorrillo,-33.2909,-66.268,68.2,21,3,4.14,AR,1697142961
202,sabak bernam,3.7698,100.9879,75.18,96,91,3.42,MY,1697142962
203,sitangkai,4.6628,119.3928,83.34,72,100,5.97,PH,1697142962
204,altai,46.3722,96.2583,40.08,40,0,5.39,MN,1697142962
205,tsiombe,-25.3,45.4833,69.98,79,52,16.55,MG,1697142962
206,urengoy,65.9667,78.3667,34.11,97,98,4.0,RU,1697142963
207,ladysmith,48.9829,-123.8194,61.45,76,20,4.61,CA,1697142749
208,bahia blanca,-38.7196,-62.2724,72.82,13,3,7.0,AR,1697142963
209,chonchi,-42.6128,-73.8092,54.61,66,77,2.46,CL,1697142963
210,koungou,-12.7336,45.2042,78.51,83,0,3.44,YT,1697142964
211,rabo de peixe,37.8,-25.5833,67.98,99,20,12.66,PT,1697142964
212,mateus leme,-19.9864,-44.4278,83.57,46,67,2.48,BR,1697142964
213,cholpon-ata,42.6494,77.0823,50.05,51,92,1.1,KG,1697142964
214,papao,-17.75,-149.55,83.88,76,28,14.72,PF,1697142965
215,tamasi,46.6333,18.2833,63.39,69,86,4.54,HU,1697142965
216,saint-francois,46.4154,3.9054,62.65,88,0,2.3,FR,1697142965
217,kudymkar,59.0173,54.656,38.89,93,100,14.05,RU,1697142965
218,kodiak,57.79,-152.4072,38.71,65,100,14.97,US,1697142965
219,sechura,-5.5569,-80.8222,79.18,58,84,15.64,PE,1697142966
220,taupo,-38.6833,176.0833,50.54,73,71,1.77,NZ,1697142966
221,murtajapur,20.7333,77.3833,79.03,59,59,3.33,IN,1697142966
222,izluchinsk,60.9794,76.9242,37.99,94,82,7.72,RU,1697142966
223,san julian,21.0167,-102.1667,77.49,31,5,10.54,MX,1697142967
224,srivardhan,18.0333,73.0167,78.93,85,98,5.3,IN,1697142967
225,atafu village,-8.5421,-172.5159,83.37,78,6,13.56,TK,1697142967
226,villanueva,15.3167,-88.0,99.59,39,20,6.91,HN,1697142898
227,luanda,-8.8368,13.2343,77.0,78,0,10.36,AO,1697142800
228,tabou,4.423,-7.3528,77.4,89,100,4.9,CI,1697142968
229,novyy urgal,51.0736,132.5642,43.99,87,17,3.74,RU,1697142968
230,fale old settlement,-9.3852,-171.2468,82.92,79,29,17.81,TK,1697142968
231,kavaratti,10.5669,72.642,81.84,73,99,0.89,IN,1697142968
232,sarina,-21.4333,149.2167,65.61,1,1,3.36,AU,1697142969
233,east london,-33.0153,27.9116,61.07,80,6,7.74,ZA,1697142702
234,la'ie,21.6477,-157.9253,85.96,66,1,5.01,US,1697142969
235,soe,-9.8607,124.284,63.63,84,15,4.14,ID,1697142969
236,port elizabeth,-33.918,25.5701,62.89,81,0,21.85,ZA,1697142969
237,san-pedro,4.7485,-6.6363,76.59,92,100,5.06,CI,1697142970
238,youhao,47.8667,128.8333,43.41,83,0,4.09,CN,1697142970
239,al hazm,16.1641,44.7769,77.13,23,0,3.24,YE,1697142970
240,okha,53.5739,142.9478,46.96,83,100,10.76,RU,1697142970
241,san juan,-31.5375,-68.5364,71.06,17,0,5.91,AR,1697142798
242,omdurman,15.6445,32.4777,95.95,17,34,14.94,SD,1697142971
243,broome,42.2506,-75.833,64.78,66,75,5.99,US,1697142965
244,az zawiyah,32.0963,35.0398,72.79,64,20,3.44,PS,1697142971
245,khandyga,62.6667,135.6,25.88,98,100,2.44,RU,1697142971
246,twon-brass,4.3151,6.2418,79.99,84,91,9.19,NG,1697142971
247,port shepstone,-30.7414,30.455,64.15,81,100,14.83,ZA,1697142972
248,maizuru,35.45,135.3333,57.97,77,64,1.81,JP,1697142972
249,kaduna,10.5222,7.4383,75.63,64,96,7.29,NG,1697142911
250,ceerigaabo,10.6162,47.368,66.24,71,56,3.13,SO,1697142972
251,miquelon,47.0975,-56.3814,55.4,73,73,9.84,PM,1697142973
252,kalmunai,7.4167,81.8167,75.6,94,100,3.42,LK,1697142973
253,usogorsk,63.4106,48.6872,36.66,96,100,11.03,RU,1697142973
254,badger,64.8,-147.5333,29.71,82,100,3.44,US,1697142973
255,viedma,-40.8135,-62.9967,60.44,33,44,13.56,AR,1697142683
256,plottier,-38.9667,-68.2333,71.51,24,0,2.3,AR,1697142974
257,keflavik,64.0049,-22.5624,39.63,75,75,25.32,IS,1697142974
258,fort stockton,30.894,-102.8793,92.16,22,0,8.05,US,1697142974
259,vadso,70.0744,29.7487,40.08,87,75,17.27,NO,1697142974
260,dwarka,22.2394,68.9678,80.35,75,2,7.23,IN,1697142975
261,quellon,-43.1167,-73.6167,48.83,65,50,9.75,CL,1697142975
262,fortuna,40.5982,-124.1573,68.94,67,0,1.99,US,1697142975
263,nueva gerona,21.8833,-82.8,89.08,56,100,15.17,CU,1697142975
264,bayanhongor,46.7167,100.1167,31.73,64,0,1.1,MN,1697142976
265,cockburn town,21.4612,-71.1419,84.33,77,94,13.35,TC,1697142931
266,hadibu,12.65,54.0333,80.85,81,48,4.72,YE,1697142976
267,palmer,42.1584,-72.3287,69.35,43,75,6.91,US,1697142732
268,kyzyl,51.7,94.45,49.01,57,100,4.0,RU,1697142977
269,aver-o-mar,41.4078,-8.7812,76.32,46,0,8.05,PT,1697142977
270,miramichi,47.0043,-65.4654,54.77,76,38,4.94,CA,1697142977
271,guerrero negro,27.9769,-114.0611,71.67,56,1,15.39,MX,1697142977
272,kisangani,0.5167,25.2,73.92,80,23,1.59,CD,1697142978
273,cabo san lucas,22.8909,-109.9124,92.61,61,0,19.57,MX,1697142933
274,tindouf,27.6711,-8.1474,82.85,18,0,8.05,DZ,1697142978
275,mutuali,-14.8706,37.0044,78.98,26,100,0.72,MZ,1697142978
276,hirara,24.8,125.2833,78.66,78,100,16.11,JP,1697142978
277,maumere,-8.6199,122.2111,77.79,70,31,2.33,ID,1697142978
278,dosso,13.049,3.1937,90.03,26,7,5.23,NE,1697142979
279,vilyuysk,63.7553,121.6247,28.18,82,86,11.01,RU,1697142697
280,ketchikan,55.3422,-131.6461,57.18,76,100,14.97,US,1697142979
281,weingarten,47.8,9.6333,63.55,88,40,0.0,DE,1697142842
282,east ballina,-28.8667,153.5833,67.5,70,3,5.3,AU,1697142980
283,chashniki,54.8569,29.1607,48.97,76,9,15.52,BY,1697142980
284,calarasi,47.2544,28.3081,57.31,52,33,6.91,MD,1697142980
285,niafunke,15.9322,-3.9906,93.78,15,84,4.92,ML,1697142980
286,qaqortoq,60.7167,-46.0333,37.47,81,99,9.24,GL,1697142980
287,kristinehamn,59.3098,14.1081,45.16,66,12,8.1,SE,1697142981
288,telimele,10.9167,-13.3333,71.46,91,98,1.68,GN,1697142981
289,rawatsar,29.2833,74.3833,82.49,23,0,8.61,IN,1697142981
290,inyonga,-6.7167,32.0667,74.48,48,92,4.38,TZ,1697142981
291,pala,9.3642,14.9046,76.78,75,49,3.51,TD,1697142981
